,SVC
2005-01,0.05014126231160818
2005-02,0.025882411125701204
2005-03,0.02964464465043954
2005-04,0.01876792003463451
2005-05,0.03928800989620311
2005-06,0.0156560674137745
2005-07,0.06974254813937307
2005-08,0.046181982165729864
2005-09,0.09909949258105862
2005-10,0.09866433352637301
2005-11,0.09852169510302368
2005-12,0.07291645823140884
2006-01,0.053298635305727524
2006-02,0.09643500758885304
2006-03,0.02215092246764201
2006-04,0.06022897921986788
2006-05,0.13516960659326532
2006-06,0.04264131011867448
2006-07,0.10014670223254452
2006-08,0.033992774990983195
2006-09,0.0958187816591318
2006-10,0.06946396433737485
2006-11,0.1010149458391615
2006-12,0.05637392962435921
2007-01,0.07147966459798136
2007-02,0.05883214022893367
2007-03,0.09601072701399371
2007-04,0.14942386954900722
2007-05,0.06335449513863249
2007-06,0.2478012205452577
2007-07,0.20138404855930941
2007-08,0.6623843416391908
2007-09,0.1324720774237976
2007-10,0.20257463560243114
2007-11,0.7953591037220245
2007-12,0.6739007334358902
2008-01,0.9269633341141401
2008-02,0.8636655196173144
2008-03,0.9203682352397801
2008-04,0.23721266114767153
2008-05,0.25710427204966957
2008-06,0.2973338529480201
2008-07,0.6326083333610983
2008-08,0.762359224618142
2008-09,0.8320451657694111
2008-10,0.8478134591464563
2008-11,0.8872424852578312
2008-12,0.11185568511640387
2009-01,0.10481594969510556
2009-02,0.10922795378394896
2009-03,0.10846555604911426
2009-04,0.10908503984658556
2009-05,0.09828816262468
2009-06,0.10427650433779585
2009-07,0.11282090385223531
2009-08,0.10607848235988004
2009-09,0.10534876148219008
2009-10,0.08252626610630324
2009-11,0.07321361697758845
2009-12,0.10514696618897316
2010-01,0.0618704044020697
2010-02,0.11013204869957802
2010-03,0.09521272541120097
2010-04,0.07164303004828979
2010-05,0.10493548561582693
2010-06,0.06546216307936926
2010-07,0.1051942481187028
2010-08,0.06575312105683438
2010-09,0.07237943406713869
2010-10,0.09862836782331241
2010-11,0.05866497426005491
2010-12,0.0992062170293978
2011-01,0.10694450653332856
2011-02,0.08653607847184358
2011-03,0.060136673580147855
2011-04,0.07445142962132473
2011-05,0.04574211618928593
2011-06,0.03969062106781926
2011-07,0.058199814505867926
2011-08,0.10338669547039919
2011-09,0.0692031180905363
2011-10,0.04279574751018483
2011-11,0.07692980679462263
2011-12,0.04274882619528231
2012-01,0.07732834240609153
2012-02,0.053960351233664175
2012-03,0.08348400475942479
2012-04,0.034179866916379434
2012-05,0.059327228664956155
2012-06,0.06963769587544898
2012-07,0.06121598391594176
2012-08,0.09512912012497868
2012-09,0.08157951393969586
2012-10,0.05209489327185349
2012-11,0.06970936348818683
2012-12,0.046286687500296415
2013-01,0.10190797324010162
2013-02,0.031338516041808775
2013-03,0.1006612234177339
2013-04,0.04054136593517707
2013-05,0.03990962336690404
2013-06,0.047507426975293726
2013-07,0.06156195404152056
2013-08,0.025442824714627166
2013-09,0.025763515650492445
2013-10,0.03932023237156521
2013-11,0.027320506120907615
2013-12,0.023124334346790603
2014-01,0.08722187216612842
2014-02,0.042645264002126926
2014-03,0.009738805418200096
2014-04,0.030819505691663227
2014-05,0.020811149544620794
2014-06,0.023347757844118914
2014-07,0.016281011529041545
2014-08,0.05026771993187756
2014-09,0.014215204678268235
2014-10,0.018044954465938116
2014-11,0.022321318604442177
2014-12,0.029086564735461447
2015-01,0.05566734884306942
2015-02,0.09429464984977436
2015-03,0.017631357672411307
2015-04,0.014900687866108295
2015-05,0.05312502034629673
2015-06,0.025676443429378998
2015-07,0.008108614702477954
2015-08,0.06897221668823429
2015-09,0.08912322850094981
2015-10,0.03823124186358326
2015-11,0.027689340958076052
2015-12,0.08207362818891059
2016-01,0.0718718728005181
2016-02,0.015236944819428815
2016-03,0.07046388347248717
2016-04,0.015739690034959283
2016-05,0.022138323778923514
2016-06,0.0110965873677708
2016-07,0.00981442155237835
2016-08,0.023484092302293154
2016-09,0.01827761923588194
2016-10,0.022087484649519575
2016-11,0.060330813057860304
2016-12,0.04491644925467368
2017-01,0.025114272535660037
2017-02,0.03453655897651749
2017-03,0.010630509990186787
2017-04,0.014896962256533317
2017-05,0.05337895041001947
2017-06,0.015936636797949235
2017-07,0.043539479025895396
2017-08,0.05068627644583988
2017-09,0.043484437162812244
2017-10,0.02201220768606822
2017-11,0.013597193872609844
2017-12,0.009309006533901883
2018-01,0.05505451676011192
2018-02,0.020185200035003126
2018-03,0.011545435108539559
2018-04,0.019346498015326827
2018-05,0.08182050596057698
2018-06,0.017682613937018317
2018-07,0.016898655690754688
2018-08,0.007428360022013823
2018-09,0.034334563226064034
2018-10,0.08550907405823417
2018-11,0.03825071985965398
2018-12,0.17160005329546818
2019-01,0.02837201876096156
2019-02,0.05798999829745889
2019-03,0.016232266581478368
2019-04,0.02878518463724269
2019-05,0.0935648170740152
2019-06,0.049328645725214185
2019-07,0.05825498781379709
2019-08,0.1797811638112997
2019-09,0.061295046866053644
2019-10,0.07765408768379865
2019-11,0.007332455277363918
2019-12,0.026085133998442166
2020-01,0.03309558418726855
2020-02,0.025222038045158452
2020-03,0.09598057149431538
2020-04,0.0947126591124742
2020-05,0.09289788782780149
2020-06,0.09366028592666582
2020-07,0.09619559929830473
2020-08,0.09875170958838049
2020-09,0.013330021650333467
2020-10,0.009712755679678753
2020-11,0.009306233713223065
2020-12,0.035574430649128554
2021-01,0.09534733489969777
2021-02,0.09646013308679503
