,model,R2
RPI,AA,-0.07411683092313193
W875RX1,AAd,-2.6168665408519054
DPCERA3M086SBEA,AA,0.9656381617104766
CMRMTSPLx,AAd,0.9994044580697591
RETAILx,AA,0.8890606051196671
INDPRO,AAd,0.9983673641569334
IPFPNSS,AAd,0.9956170209100614
IPFINAL,AAd,0.964379164550599
IPCONGD,AA,-2.8651173660905296
IPDCONGD,AA,-2.112778453498828
IPNCONGD,AA,0.7209182785547944
IPBUSEQ,AAd,0.9781407168988566
IPMAT,AAd,0.9645333368863772
IPDMAT,AAd,0.8727374110934935
IPNMAT,AAd,-1.2832558217009646
IPMANSICS,AAd,0.9521773282059909
IPB51222S,AA,-2.178610695861801
IPFUELS,AA,0.30000945687708336
CUMFNS,AAd,-0.7423794487731339
HWI,AAd,0.5026223470747204
HWIURATIO,AAd,0.48904888847363615
CLF16OV,AA,0.7206820941984631
CE16OV,AAd,0.5929364046432757
UNRATE,AAd,0.7845555190946989
UEMPMEAN,AAd,0.5648378552905701
UEMPLT5,A,0.9664615027084819
UEMP5TO14,AAd,-1.460473670448609
UEMP15OV,AAd,0.5568183623644801
UEMP15T26,AAd,-0.017253708330303708
UEMP27OV,AAd,0.9794626807214274
CLAIMSx,A,0.00017969143145069033
PAYEMS,AAd,0.7529275018987882
USGOOD,AAd,-0.3906811665074519
CES1021000001,A,-7.097209856365971e-05
USCONS,AAd,0.4351723510807368
MANEMP,AAd,-29.931570382286043
DMANEMP,AAd,-2.521669833119691
NDMANEMP,AAd,0.3899904271617961
SRVPRD,AA,0.9516020909881231
USTPU,AAd,0.6628289589761667
USWTRADE,AAd,0.48153481614328486
USTRADE,AAd,0.5954500991856623
USFIRE,AAd,-6.951440087238597
USGOVT,AA,0.15042570199466532
CES0600000007,A,0.8193239264457597
AWOTMAN,AAd,0.3219692321200285
AWHMAN,A,0.27939398400777815
HOUST,AAd,0.786033106301951
HOUSTNE,AAd,0.6444505113919743
HOUSTMW,A,-19.79196823111641
HOUSTS,AAd,0.9639657737396835
HOUSTW,A,0.5995917456745701
PERMIT,AAd,0.08181722752349085
PERMITNE,A,-0.9187347662524195
PERMITMW,A,0.6877110496159065
PERMITS,AAd,0.968861682193687
PERMITW,A,-0.14088599169090665
ACOGNO,AA,0.5650787536049284
AMDMNOx,AAd,-166.10044835044096
ANDENOx,AAd,0.42796727727771844
AMDMUOx,AAd,-11.494876091308392
BUSINVx,AAd,0.9907776863504177
ISRATIOx,AAd,0.6024973762863415
M1SL,AAd,-3.4491313886557657
M2SL,AA,-0.69865898245497
M2REAL,AAd,-1.267531404440846
BOGMBASE,AA,-958.8668849300451
TOTRESNS,A,0.3542485769758379
NONBORRES,A,0.08681902158428823
BUSLOANS,AAd,0.8901473734303332
REALLN,AAd,0.8133147913851086
NONREVSL,AA,0.8104967666877689
CONSPI,AAd,-0.15308433117727427
S&P 500,AAd,-2.3090778337706945
S&P: indust,AAd,-11.877430294218774
S&P div yield,AAd,0.026187116209325678
S&P PE ratio,AAd,0.46100216893392276
FEDFUNDS,AAd,0.7126454304204284
CP3Mx,AAd,0.6356244074069433
TB3MS,AAd,0.5215712166451933
TB6MS,AAd,0.621786231342741
GS1,,
GS5,,
GS10,,
AAA,,
BAA,,
COMPAPFFx,,
TB3SMFFM,,
TB6SMFFM,,
T1YFFM,,
T5YFFM,,
T10YFFM,,
AAAFFM,,
BAAFFM,,
TWEXAFEGSMTHx,,
EXSZUSx,,
EXJPUSx,,
EXUSUKx,,
EXCAUSx,,
WPSFD49207,,
WPSFD49502,,
WPSID61,,
WPSID62,,
OILPRICEx,,
PPICMM,,
CPIAUCSL,,
CPIAPPSL,,
CPITRNSL,,
CPIMEDSL,,
CUSR0000SAC,,
CUSR0000SAD,,
CUSR0000SAS,,
CPIULFSL,,
CUSR0000SA0L2,,
CUSR0000SA0L5,,
PCEPI,,
DDURRG3M086SBEA,,
DNDGRG3M086SBEA,,
DSERRG3M086SBEA,,
CES0600000008,,
CES2000000008,,
CES3000000008,,
UMCSENTx,,
DTCOLNVHFNM,,
DTCTHFNM,,
INVEST,,
VIXCLSx,,
